From	To
A0A024R5S0	hCG_2003792
O75553	DAB1
P25788	PSMA3
Q02446	SP4
Q8N9W6	BOLL
Q93062	RBPMS
Q9NVV9	THAP1
A0A024R6G0	TCL6
P50222	MEOX2
A0A024RA76	hCG_1744368
O00560	SDCBP
Q14498	RBM39
Q8N9Q2	SREK1IP1
Q9NZ81	PRR13
A0A0A0MS80	TMEM80
P56705	WNT4
A0A1B0GWI1	CCDC196
O14770	MEIS2
Q15323	KRT31
Q8N3L3	TXLNB
Q9UBB9	TFIP11
A0AUZ9	KANSL1L
Q96CV9	OPTN
A0AV96	RBM47
Q6P1W5	C1orf94
Q96LI6	HSFY1
Q96LI6	HSFY2
A0AVK6	E2F8
Q01844	EWSR1
Q12800	TFCP2
Q13643	FHL3
Q8IUH5	ZDHHC17
Q8N653	LZTR1
A0AVT1	UBA6
O15198	SMAD9
Q6NT76	HMBOX1
A0JLT2	MED19
P25963	NFKBIA
P27707	DCK
P28360	MSX1
Q6IAN0	DHRS7B
Q75LH2	FLJ10324
Q96JH8	RADIL
A0JNW5	UHRF1BP1L
P54253	ATXN1
A0MNP2	WDR57
P13686	ACP5
Q08345	DDR1
A0MZ66	SHTN1
O75936	BBOX1
P05413	FABP3
P62508	ESRRG
Q6PIQ7	IGL@
Q96KG7	MEGF10
Q9Y5B8	NME7
A0PJX4	SHISA3
Q8ND90	PNMA1
A0PK00	TMEM120B
O95273	CCNDBP1
A0S2M1	ND4
P25054	APC
A0ZT98	TSSK1
P08238	HSP90AB1
P36897	TGFBR1
P37173	TGFBR2
A1A4S6	ARHGAP10
P78314	SH3BP2
Q92625	ANKS1A
A1A580	KRTAP23-1
O14503	BHLHE40
Q63HR2	TNS2
Q6IB83	BHLHB2
A1A5C7	SLC22A23
P26371	KRTAP5-9
P60410	KRTAP10-8
Q7Z3S9	NOTCH2NLA
A1A5D2	SNX26
P63000	RAC1
A1A5D9	BICDL2
Q6P597	KLC3
A1E959	ODAM
Q9H0E2	TOLLIP
A1L0T0	ILVBL
O60784	TOM1
P12956	XRCC6
Q8TAP6	CEP76
A1L162	ERICH2
O75367	MACROH2A1
Q96ST2	IWS1
A1L190	SYCE3
P49441	INPP1
Q96CS2	HAUS1
Q9UL45	BLOC1S6
A1L3X0	ELOVL7
Q96EV8	DTNBP1
A1L3X4	MT1DP
P60370	KRTAP10-5
P60411	KRTAP10-9
A1L3Z8	C20orf12
Q5VTD9	GFI1B
A1L429	GAGE12B
A1L429	GAGE12C
A1L429	GAGE12D
A1L429	GAGE12E
Q53SE7	FLJ13057
Q8NEA9	GMCL2
Q96IK5	GMCL1
A1L443	NUTM2F
P62993	GRB2
Q8NDC4	MORN4
Q9UQR1	ZNF148
A1L4H1	SSC5D
P37198	NUP62
Q13077	TRAF1
Q13503	MED21
Q7Z6G3	NECAB2
Q96L14	CEP170P1
Q9UPT5	EXOC7
Q9Y6Y8	SEC23IP
A1L4K1	FSD2
O95835	LATS1
O95990	FAM107A
P10768	ESD
P17024	ZNF20
P28070	PSMB4
P29972	AQP1
P31146	CORO1A
P40426	PBX3
Q00994	BEX3
Q06787	FMR1
Q08117	TLE5
Q14324	MYBPC2
Q14738	PPP2R5D
Q15973	ZNF124
Q16670	ZSCAN26
Q3B820	FAM161A
Q53FD0	ZC2HC1C
Q6IAM1	TU3A
Q6NYC8	PPP1R18
Q6P1J9	CDC73
Q7Z3B3	KANSL1
Q7Z3I7	ZNF572
Q86VK4	ZNF410
Q86YD7	FAM90A1
Q8IY31	IFT20
Q8N8B7	TCEANC
Q8NEF3	CCDC112
Q8TAU3	ZNF417
Q8TD31	CCHCR1
Q8WY48	PP2150
Q92569	PIK3R3
Q96BZ8	LENG1
Q96NC0	ZMAT2
Q96SQ5	ZNF587
Q99608	NDN
Q9BXY8	BEX2
Q9H0A9	SPATC1L
Q9H0E9	BRD8
Q9H788	SH2D4A
Q9HC52	CBX8
Q9P0T4	ZNF581
Q9UGP5	POLL
Q9UIE0	ZNF230
Q9Y3B7	MRPL11
A1XBS5	FAM92A
Q92624	APPBP2
Q9Y3M2	CBY1
A2RRD8	ZNF320
P60409	KRTAP10-7
A2RRG2	C1orf104
P61964	WDR5
A2RRH5	WDR27
P08243	ASNS
A2RRL7	TMEM213
P15884	TCF4
P31153	MAT2A
A2RRP1	NBAS
O95897	OLFM2
A2RTX5	TARS3
P26639	TARS1
A2RU14	TMEM218
P12004	PCNA
Q5T700	LDLRAD1
Q96BA8	CREB3L1
A2RU48	SMCO3
P45984	MAPK9
Q9HCM9	TRIM39
A2RU49	HYKK
Q15654	TRIP6
A2RU56	LOC401296
A2RUH7	MYBPHL
A2VCK2	DCDC2B
Q5JR59	MTUS2
Q6A162	KRT40
Q8N9N5	BANP
Q9NSS6	DKFZp761H172
A2VDF0	FUOM
Q96RS6	NUDCD1
