From	To
A2AQR4	Zfp64
Q6PGF3	Med16
Q99PM3	Gtf2a1
B2RWS6	Ep300
Q04207	Rela
Q9JHD1	Kat2b
Q9WVB3	Tle6
B9EHI3	1700006A11Rik
P36898	Bmpr1b
D3Z4R4	Nkx6-2
P22361	Hnf1a
Q80W03	Tox3
Q9JL10	Sertad1
E0CXP6	Umad1
Q8VD21	Ankrd24
Q9D1C8	Vps28
E9Q5M9	Zfp688
S4R1L6	Mzf1
E9Q7L6	Foxn2
O55144	Tlx3
Q07279	Nfe2
E9QAP1	Zfp764
P56477	Irf5
F8VQ05	Fryl
P60335	Pcbp1
G3X8Y3	Naa15
Q61545	Ewsr1
O08537	Esr2
Q8VH51	Rbm39
O08609	Mlx
Q2VPU4	Mlxip
O08674	Rbpjl
O08686	Barx2
P01101	Fos
P05627	Jun
P16951	Atf2
Q01147	Creb1
O08740	Polr2j
P97760	Polr2c
Q99NE9	Pbx4
O08791	Ebf3
Q8K4J2	Ebf4
O08856	Ell
Q920Q8	Ivns1abp
O08915	Aip
P30561	Ahr
O09000	Ncoa3
O35973	Per1
O54915	Nr1i2
O88522	Ikbkg
Q8BKT3	Gcfc2
Q8BSY3	Tbx4
Q8CFD5	Ercc8
Q8CFN5	Mef2c
Q8R1B8	Rorb
Q8VDQ8	Sirt2
Q921X6	Polr3f
Q923E4	Sirt1
Q924Z4	Cers2
Q925H1	Trps1
Q9D0D5	Gtf2e1
Q9WUU6	Hnf4g
Q9Z148	Ehmt2
O09105	Neurod4
Q61909	Runx1t1
O09106	Hdac1
Q60973	Rbbp7
Q921E6	Eed
O35134	Polr1a
P03966	Mycn
P15806	Tcf3
P25425	Pou2f1
P61458	Pcbd1
O35137	Alx4
O35602	Rax
O88609	Lmx1b
O88621	Foxh1
P18111	Cdx1
P23812	Hoxd12
P24610	Pax3
P31310	Hoxa10
P31311	Hoxa11
P35582	Foxa1
P40764	Dlx2
P43241	Cdx2
P43267	Sox15
P48432	Sox2
P62515	Pou3f4
P63013	Prrx1
P70217	Hoxd13
P70321	Hoxb13
P70396	Dlx5
P70662	Ldb1
P80206	Otx2
Q07424	Cdx4
Q08624	Hoxc4
Q63934	Pou4f2
Q64317	Dlx1
Q8K284	Gtf3c1
Q9JKD8	Tbx21
Q9WUI0	Mixl1
O35160	Pitx3
O35185	Bhlhe40
O35284	Batf
P09450	Junb
O35317	Pbx3
O35437	Tcf21
O70477	Pknox1
P09079	Hoxb5
P09092	Hoxa6
P09631	Hoxa9
P09632	Hoxb8
P10628	Hoxd4
P10629	Hoxc6
P28357	Hoxd9
P28359	Hoxd10
